ComID,GeogName,DataGroup1,DataGroup1_Order,DataGroup2,1996 - .,1996 - %,2001 - .,2001 - %,2006 - .,2006 - %,Percent Change 1996 - 2006
ECR24,Southern,Total Reporting,1,All Households,48305,100,49470,100,49980,100,3.5
COM1003,Old Barns,Total Reporting,1,All Households,,100,,100,274,100,
COM1003,Old Barns,Total Reporting,1,Two or More Person Households,,100,,100,214,100,
COM1004,Brookfield,Total Reporting,1,All Households,,100,,100,813,100,
COM1004,Brookfield,Total Reporting,1,One Person Households,,100,,100,173,100,
COM1004,Brookfield,Total Reporting,1,Two or More Person Households,,100,,100,634,100,
COM1005,Upper Stewiacke,Total Reporting,1,One Person Households,,100,,100,135,100,
COM1005,Upper Stewiacke,Total Reporting,1,All Households,,100,,100,615,100,
COM1005,Upper Stewiacke,Total Reporting,1,Two or More Person Households,,100,,100,479,100,
COM1006,Greenfield,Total Reporting,1,Two or More Person Households,,100,,100,340,100,
COM1006,Greenfield,Total Reporting,1,All Households,,100,,100,403,100,
COM1006,Greenfield,Total Reporting,1,One Person Households,,100,,100,63,100,
COM1007,Hilden,Total Reporting,1,Two or More Person Households,,100,,100,521,100,
COM1007,Hilden,Total Reporting,1,One Person Households,,100,,100,115,100,
COM1007,Hilden,Total Reporting,1,All Households,,100,,100,637,100,
COM1008,Millbrook First Nation (Millbrook (27)),Total Reporting,1,Two or More Person Households,,100,,100,135,100,
COM1008,Millbrook First Nation (Millbrook (27)),Total Reporting,1,One Person Households,,100,,100,40,100,
COM1008,Millbrook First Nation (Millbrook (27)),Total Reporting,1,All Households,,100,,100,175,100,
COM1009,Truro,Total Reporting,1,All Households,,100,,100,7227,100,
COM1009,Truro,Total Reporting,1,Two or More Person Households,,100,,100,4758,100,
COM1009,Truro,Total Reporting,1,One Person Households,,100,,100,2468,100,
COM101,Welshtown,Total Reporting,1,Two or More Person Households,,100,,100,237,100,
COM101,Welshtown,Total Reporting,1,One Person Households,,100,,100,66,100,
COM101,Welshtown,Total Reporting,1,All Households,,100,,100,299,100,
COM1010,Bible Hill,Total Reporting,1,Two or More Person Households,,100,,100,2582,100,
COM1010,Bible Hill,Total Reporting,1,One Person Households,,100,,100,837,100,
COM1010,Bible Hill,Total Reporting,1,All Households,,100,,100,3415,100,
COM1011,East Mountain,Total Reporting,1,All Households,,100,,100,1125,100,
COM1011,East Mountain,Total Reporting,1,One Person Households,,100,,100,183,100,
COM1011,East Mountain,Total Reporting,1,Two or More Person Households,,100,,100,948,100,
COM1012,Earltown,Total Reporting,1,All Households,,100,,100,299,100,
COM1012,Earltown,Total Reporting,1,One Person Households,,100,,100,67,100,
COM1012,Earltown,Total Reporting,1,Two or More Person Households,,100,,100,231,100,
COM1013,Tatamagouche,Total Reporting,1,All Households,,100,,100,923,100,
COM1013,Tatamagouche,Total Reporting,1,One Person Households,,100,,100,287,100,
COM1013,Tatamagouche,Total Reporting,1,Two or More Person Households,,100,,100,638,100,
COM1014,New Annan,Total Reporting,1,One Person Households,,100,,100,64,100,
COM1014,New Annan,Total Reporting,1,Two or More Person Households,,100,,100,226,100,
COM1014,New Annan,Total Reporting,1,All Households,,100,,100,289,100,
COM1015,Lower Onslow,Total Reporting,1,Two or More Person Households,,100,,100,962,100,
COM1015,Lower Onslow,Total Reporting,1,One Person Households,,100,,100,227,100,
COM1015,Lower Onslow,Total Reporting,1,All Households,,100,,100,1179,100,
COM1016,Debert,Total Reporting,1,One Person Households,,100,,100,123,100,
COM1016,Debert,Total Reporting,1,All Households,,100,,100,579,100,
COM1016,Debert,Total Reporting,1,Two or More Person Households,,100,,100,454,100,
COM1017,Glenholme,Total Reporting,1,Two or More Person Households,,100,,100,729,100,
COM1017,Glenholme,Total Reporting,1,All Households,,100,,100,951,100,
COM1017,Glenholme,Total Reporting,1,One Person Households,,100,,100,222,100,
COM1018,Economy,Total Reporting,1,Two or More Person Households,,100,,100,374,100,
COM1018,Economy,Total Reporting,1,One Person Households,,100,,100,137,100,
COM1018,Economy,Total Reporting,1,All Households,,100,,100,512,100,
COM102,Lockeport,Total Reporting,1,All Households,,100,,100,899,100,
COM102,Lockeport,Total Reporting,1,One Person Households,,100,,100,230,100,
COM102,Lockeport,Total Reporting,1,Two or More Person Households,,100,,100,673,100,
COM103,Shelburne,Total Reporting,1,All Households,,100,,100,1562,100,
HRM7,HRM7,"Under $10,000",2,Two or More Person Households,0,0,0,0,0,0,0
COM103,Shelburne,Total Reporting,1,One Person Households,,100,,100,441,100,
COM103,Shelburne,Total Reporting,1,Two or More Person Households,,100,,100,1123,100,
COM104,Clyde River,Total Reporting,1,One Person Households,,100,,100,161,100,
COM104,Clyde River,Total Reporting,1,All Households,,100,,100,760,100,
COM104,Clyde River,Total Reporting,1,Two or More Person Households,,100,,100,599,100,
COM105,Barrington,Total Reporting,1,One Person Households,,100,,100,386,100,
COM105,Barrington,Total Reporting,1,Two or More Person Households,,100,,100,1162,100,
COM105,Barrington,Total Reporting,1,All Households,,100,,100,1561,100,
COM106,Cape Sable Island,Total Reporting,1,One Person Households,,100,,100,320,100,
COM106,Cape Sable Island,Total Reporting,1,All Households,,100,,100,1397,100,
COM106,Cape Sable Island,Total Reporting,1,Two or More Person Households,,100,,100,1075,100,
COM107,Tobeatic - Tidney River Wilderness,Total Reporting,1,All Households,,100,,100,1,100,
COM107,Tobeatic - Tidney River Wilderness,Total Reporting,1,One Person Households,,100,,100,0,100,
COM107,Tobeatic - Tidney River Wilderness,Total Reporting,1,Two or More Person Households,,100,,100,1,100,
COM1101,Parrsboro,Total Reporting,1,All Households,,100,,100,1089,100,
COM1101,Parrsboro,Total Reporting,1,One Person Households,,100,,100,358,100,
COM1101,Parrsboro,Total Reporting,1,Two or More Person Households,,100,,100,741,100,
COM1102,Advocate Harbour,Total Reporting,1,One Person Households,,100,,100,112,100,
COM1102,Advocate Harbour,Total Reporting,1,Two or More Person Households,,100,,100,283,100,
COM1102,Advocate Harbour,Total Reporting,1,All Households,,100,,100,390,100,
COM1103,River Hebert,Total Reporting,1,Two or More Person Households,,100,,100,439,100,
COM1103,River Hebert,Total Reporting,1,One Person Households,,100,,100,128,100,
COM1103,River Hebert,Total Reporting,1,All Households,,100,,100,580,100,
COM1104,Springhill,Total Reporting,1,All Households,,100,,100,2140,100,
COM1104,Springhill,Total Reporting,1,Two or More Person Households,,100,,100,1521,100,
COM1104,Springhill,Total Reporting,1,One Person Households,,100,,100,617,100,
COM1105,Wentworth,Total Reporting,1,Two or More Person Households,,100,,100,485,100,
COM1105,Wentworth,Total Reporting,1,One Person Households,,100,,100,135,100,
COM1105,Wentworth,Total Reporting,1,All Households,,100,,100,622,100,
COM1106,Oxford,Total Reporting,1,Two or More Person Households,,100,,100,664,100,
COM1106,Oxford,Total Reporting,1,One Person Households,,100,,100,277,100,
COM1106,Oxford,Total Reporting,1,All Households,,100,,100,944,100,
COM1107,Amherst,Total Reporting,1,All Households,,100,,100,5684,100,
COM1107,Amherst,Total Reporting,1,One Person Households,,100,,100,1596,100,
COM1107,Amherst,Total Reporting,1,Two or More Person Households,,100,,100,4078,100,
COM1108,Tidnish,Total Reporting,1,Two or More Person Households,,100,,100,210,100,
COM1108,Tidnish,Total Reporting,1,One Person Households,,100,,100,59,100,
COM1108,Tidnish,Total Reporting,1,All Households,,100,,100,271,100,
COM1109,Port Howe,Total Reporting,1,Two or More Person Households,,100,,100,239,100,
COM1109,Port Howe,Total Reporting,1,All Households,,100,,100,329,100,
COM1109,Port Howe,Total Reporting,1,One Person Households,,100,,100,83,100,
COM1110,Pugwash,Total Reporting,1,All Households,,100,,100,614,100,
COM1110,Pugwash,Total Reporting,1,Two or More Person Households,,100,,100,436,100,
COM1110,Pugwash,Total Reporting,1,One Person Households,,100,,100,174,100,
COM1111,Wallace,Total Reporting,1,All Households,,100,,100,644,100,
COM1111,Wallace,Total Reporting,1,One Person Households,,100,,100,169,100,
COM1111,Wallace,Total Reporting,1,Two or More Person Households,,100,,100,474,100,
com1112,Paqtnkek First Nation (Franklin Manor (22)),Total Reporting,1,One Person Households,,100,,100,0,100,
com1112,Paqtnkek First Nation (Franklin Manor (22)),Total Reporting,1,All Households,,100,,100,0,100,
com1112,Paqtnkek First Nation (Franklin Manor (22)),Total Reporting,1,Two or More Person Households,,100,,100,0,100,
COM1201,River John,Total Reporting,1,One Person Households,,100,,100,297,100,
COM1201,River John,Total Reporting,1,All Households,,100,,100,1050,100,
COM1201,River John,Total Reporting,1,Two or More Person Households,,100,,100,754,100,
COM1202,Pictou,Total Reporting,1,All Households,,100,,100,2206,100,
HRM7,HRM7,"Under $10,000",2,All Households,0,0,0,0,0,0,0
COM1202,Pictou,Total Reporting,1,Two or More Person Households,,100,,100,1598,100,
COM1202,Pictou,Total Reporting,1,One Person Households,,100,,100,610,100,
COM1203,Scotsburn,Total Reporting,1,All Households,,100,,100,1313,100,
COM1203,Scotsburn,Total Reporting,1,One Person Households,,100,,100,248,100,
COM1203,Scotsburn,Total Reporting,1,Two or More Person Households,,100,,100,1072,100,
COM1204,Salt Springs,Total Reporting,1,All Households,,100,,100,488,100,
COM1204,Salt Springs,Total Reporting,1,One Person Households,,100,,100,85,100,
COM1204,Salt Springs,Total Reporting,1,Two or More Person Households,,100,,100,403,100,
COM1205,Hopewell,Total Reporting,1,All Households,,100,,100,953,100,
COM1205,Hopewell,Total Reporting,1,One Person Households,,100,,100,228,100,
COM1205,Hopewell,Total Reporting,1,Two or More Person Households,,100,,100,720,100,
COM1206,Westville,Total Reporting,1,Two or More Person Households,,100,,100,1462,100,
COM1206,Westville,Total Reporting,1,One Person Households,,100,,100,481,100,
COM1206,Westville,Total Reporting,1,All Households,,100,,100,1947,100,
COM1207,Stellarton,Total Reporting,1,Two or More Person Households,,100,,100,1465,100,
COM1207,Stellarton,Total Reporting,1,All Households,,100,,100,2139,100,
COM1207,Stellarton,Total Reporting,1,One Person Households,,100,,100,668,100,
COM1208,New Glasgow,Total Reporting,1,Two or More Person Households,,100,,100,3489,100,
COM1208,New Glasgow,Total Reporting,1,One Person Households,,100,,100,1712,100,
COM1208,New Glasgow,Total Reporting,1,All Households,,100,,100,5207,100,
COM1209,Trenton,Total Reporting,1,All Households,,100,,100,1204,100,
COM1209,Trenton,Total Reporting,1,One Person Households,,100,,100,307,100,
COM1209,Trenton,Total Reporting,1,Two or More Person Households,,100,,100,899,100,
COM1210,Pictou Landing,Total Reporting,1,All Households,,100,,100,450,100,
COM1210,Pictou Landing,Total Reporting,1,One Person Households,,100,,100,132,100,
COM1210,Pictou Landing,Total Reporting,1,Two or More Person Households,,100,,100,324,100,
COM1211,Pictou Landing First Nation (Fisher's Grant (24)),Total Reporting,1,All Households,,100,,100,125,100,
COM1211,Pictou Landing First Nation (Fisher's Grant (24)),Total Reporting,1,One Person Households,,100,,100,25,100,
COM1211,Pictou Landing First Nation (Fisher's Grant (24)),Total Reporting,1,Two or More Person Households,,100,,100,100,100,
COM1212,Little Harbour,Total Reporting,1,One Person Households,,100,,100,78,100,
COM1212,Little Harbour,Total Reporting,1,Two or More Person Households,,100,,100,245,100,
COM1212,Little Harbour,Total Reporting,1,All Households,,100,,100,324,100,
COM1213,Thorburn,Total Reporting,1,Two or More Person Households,,100,,100,748,100,
COM1213,Thorburn,Total Reporting,1,All Households,,100,,100,951,100,
COM1213,Thorburn,Total Reporting,1,One Person Households,,100,,100,207,100,
COM1214,Blue Mountain,Total Reporting,1,All Households,,100,,100,423,100,
COM1214,Blue Mountain,Total Reporting,1,One Person Households,,100,,100,101,100,
COM1214,Blue Mountain,Total Reporting,1,Two or More Person Households,,100,,100,324,100,
COM1215,Merigomish,Total Reporting,1,Two or More Person Households,,100,,100,388,100,
COM1215,Merigomish,Total Reporting,1,All Households,,100,,100,498,100,
COM1215,Merigomish,Total Reporting,1,One Person Households,,100,,100,106,100,
com1216,Pictou Landing First Nation (Boat Harbour West (37)),Total Reporting,1,All Households,,100,,100,0,100,
com1216,Pictou Landing First Nation (Boat Harbour West (37)),Total Reporting,1,One Person Households,,100,,100,0,100,
com1216,Pictou Landing First Nation (Boat Harbour West (37)),Total Reporting,1,Two or More Person Households,,100,,100,0,100,
COM1217,Pictou Landing First Nation (Merigomish Harbour (31)),Total Reporting,1,Two or More Person Households,,100,,100,0,100,
COM1217,Pictou Landing First Nation (Merigomish Harbour (31)),Total Reporting,1,All Households,,100,,100,0,100,
COM1217,Pictou Landing First Nation (Merigomish Harbour (31)),Total Reporting,1,One Person Households,,100,,100,0,100,
COM1301,Melrose,Total Reporting,1,All Households,,100,,100,234,100,
COM1301,Melrose,Total Reporting,1,One Person Households,,100,,100,67,100,
COM1301,Melrose,Total Reporting,1,Two or More Person Households,,100,,100,169,100,
