BRDCODE,SEGID,the_geom,PNTID,BRDNAME,SCHLCODE,SCHLNAME,MAIL1,MAIL2,MPOSTCODE,CIVIC1,CIVIC2,CPOSTCODE,PHONE,FAX,EMAIL,SCHLYR
58,256200009,POINT (-64.45744510119268 44.72997658979871),256200121,SOUTH SHORE REGIONAL SCHOOL BOARD,214,NEW ROSS CONSOLIDATED SCHOOL,PO BOX 10,NEW ROSS NS,B0J 2M0,4689 HIGHWAY 12,NEW ROSS NS,B0J 2M0,902 689 6100,902 689 6110,NRCS@SSRSB.CA,2015-2016
59,285100032,POINT (-66.01661234982862 44.41067183871362),285100002,TRI-COUNTY REGIONAL SCHOOL BOARD,977,ST. MARY'S BAY ACADEMY,RR 1,WEYMOUTH NS,B0W 3T0,4079 HIGHWAY 1,ST. BERNARD NS,B0W 3T0,902 837 2340,902 837 2345,SMBA@TCRSB.CA,2015-2016
57,400008115,POINT (-66.13105778862517 44.244628792791005),287700027,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,218,ECOLE JEAN-MARIE-GAY,9680 RTE 1,SAULNIERVILLE N.-E.,B0W 2Z0,9680 HIGHWAY 1,LOWER SAULNIERVILLE NS,B0W 2Z0,902 769 5420,902 769 5423,EJMG@CSAP.CA,2015-2016
53,263600024,POINT (-63.465874688602256 45.38494130494847),263600133,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,27,CHIGANOIS ELEMENTARY SCHOOL,11145 HWY 2,DEBERT NS,B0M 1G0,11145 HIGHWAY 2,MASSTOWN NS,B0M 1G0,902 662 4420,902 662 4422,HARNISHK@CCRSB.CA,2015-2016
59,400044609,POINT (-66.01724338989504 43.81319041100569),225000004,TRI-COUNTY REGIONAL SCHOOL BOARD,199,PLYMOUTH SCHOOL,RR 1,ARCADIA NS,B0W 1B0,849 HIGHWAY 334,PLYMOUTH NS,B0W 1B0,902 663 2000,902 663 2005,PS@TCRSB.CA,2015-2016
58,400003899,POINT (-64.56065557339676 44.32045484363197),246700029,SOUTH SHORE REGIONAL SCHOOL BOARD,917,HEBBVILLE ACADEMY,16147 HWY 3,HEBBVILLE NS,B4V 6Y1,16147 HIGHWAY 3,HEBBVILLE NS,B4V 6Y1,902 541 8280,902 541 8290,HA@SSRSB.CA,2015-2016
57,227000021,POINT (-65.79622173583765 43.66959295785125),227000179,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,156,ECOLE PUBNICO-OUEST,CP 40,PUBNICO-OUEST N.-E.,B0W 3S0,811 HIGHWAY 335,WEST PUBNICO NS,B0W 3S0,902 762 4400,902 762 4402,EPO@CSAP.CA,2015-2016
58,247000005,POINT (-64.62567081104139 44.38201561959985),247000054,SOUTH SHORE REGIONAL SCHOOL BOARD,404,NEWCOMBVILLE ELEMENTARY SCHOOL,4220 HWY 325,NEWCOMBVILLE NS,B4V 7W2,4220 HIGHWAY 325,NEWCOMBVILLE NS,B4V 7W2,902 541 8230,902 541 8231,NES@SSRSB.CA,2015-2016
59,295900028,POINT (-66.09842116874539 44.480821871619035),295900143,TRI-COUNTY REGIONAL SCHOOL BOARD,257,DIGBY NECK CONSOLIDATED SCHOOL,RR 1,SANDY COVE NS,B0V 1E0,6203 HIGHWAY 217,SANDY COVE NS,B0V 1E0,902 834 6600,902 834 6602,DNCES@TCRSB.CA,2015-2016
57,289200021,POINT (-66.1661166416949 44.0624207017982),289200049,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,221,ECOLE SAINT-ALBERT,CP 26,RIVIERE-AUX-SAUMONS N.-E.,B0W 2Y0,5155 HIGHWAY 1,SALMON RIVER NS,B0W 2Y0,902 649 5600,902 649 5601,ESTA@CSAP.CA,2015-2016
54,317100007,POINT (-63.205679098903175 44.77688630111265),317100028,HALIFAX REGIONAL SCHOOL BOARD,356,GAETZ BROOK JUNIOR HIGH SCHOOL,6856 HWY 7,HEAD OF CHEZZETCOOK NS,B0J 1N0,6856 HIGHWAY 7,GAETZ BROOK NS,B0J 1N0,902 827 4666,902 827 5430,GBJHS@HRSB.NS.CA,2015-2016
57,318200062,POINT (-63.28178007239278 44.74466313860866),318200504,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,1173,ECOLE DES BEAUX-MARAIS,5261 AUT 7,PORTERS LAKE N.-E.,B3E 1J7,5261 HIGHWAY 7,PORTERS LAKE NS,B3E 1J7,902 827 4621,902 827 4623,EBM@CSAP.CA,2015-2016
53,134500032,POINT (-63.71722813100053 45.181794348701025),134500092,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,38,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,4369 HWY 236,KENNETCOOK NS,B0N 1P0,4369 HIGHWAY 236,KENNETCOOK NS,B0N 1P0,902 362 3300,902 362 3303,BRUCEMG@CCRSB.CA,2015-2016
53,137300107,POINT (-63.42909130275143 45.0557193466161),137300079,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,42,HANTS EAST RURAL HIGH SCHOOL,2331 HWY 2,MILFORD NS,B0N 1Y0,2331 HIGHWAY 2,MILFORD NS,B0N 1Y0,902 758 4620,902 758 4626,SMITHMT@CCRSB.CA,2015-2016
54,400023353,POINT (-63.43971967926528 44.991505429935216),308100059,HALIFAX REGIONAL SCHOOL BOARD,343,DUTCH SETTLEMENT ELEMENTARY SCHOOL,990 HWY 277,DUTCH SETTLEMENT NS,B2S 2J5,990 HIGHWAY 277,DUTCH SETTLEMENT NS,B2S 2J5,902 883 3000,902 883 3001,DSES@HRSB.NS.CA,2015-2016
54,310000008,POINT (-62.951437837033076 45.13757231878176),310000061,HALIFAX REGIONAL SCHOOL BOARD,349,UPPER MUSQUODOBOIT CONSOLIDATED ELEMENTARY SCHOOL,8416 HWY 224,UPPER MUSQUODOBOIT NS,B0N 2M0,8416 HIGHWAY 224,UPPER MUSQUODOBOIT NS,B0N 2M0,902 568 2285,902 568 2573,UMCS@HRSB.NS.CA,2015-2016
54,400030642,POINT (-62.998361402649984 44.780803426500334),316300108,HALIFAX REGIONAL SCHOOL BOARD,1141,OYSTER POND ACADEMY,10583 HWY 7,OYSTER POND NS,B0J 1W0,10583 HIGHWAY 7,OYSTER POND NS,B0J 1W0,902 889 4300,902 889 4310,OPA@HRSB.NS.CA,2015-2016
54,400031150,POINT (-62.696399811234876 44.803312793337334),314100037,HALIFAX REGIONAL SCHOOL BOARD,330,LAKEFRONT CONSOLIDATED ELEMENTARY SCHOOL,17286 HWY 7,TANGIER NS,B0J 3H0,17286 HIGHWAY 7,TANGIER NS,B0J 3H0,902 772 2195,902 772 2850,LCS@HRSB.NS.CA,2015-2016
53,268500116,POINT (-63.2654059468462 45.25777854714519),268500153,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,16,BROOKFIELD ELEMENTARY SCHOOL,233 HWY 289,BROOKFIELD NS,B0N 1C0,233 HIGHWAY 289,BROOKFIELD NS,B0N 1C0,902 673 5050,902 673 5052,WEATHERBEEKL@CCRSB.CA,2015-2016
53,268500116,POINT (-63.26812227359829 45.25872892920139),268500530,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,992,SOUTH COLCHESTER ACADEMY,207 HWY 289,BROOKFIELD NS,B0N 1C0,207 HIGHWAY 289,BROOKFIELD NS,B0N 1C0,902 673 5000,902 673 5005,JACKSONN@CCRSB.CA,2015-2016
55,182200091,POINT (-64.63113745278933 45.058594726329645),182200280,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,67,CENTRAL KINGS RURAL HIGH SCHOOL,6125 HWY 1,CAMBRIDGE NS,B0P 1G0,6125 HIGHWAY 1,CAMBRIDGE NS,B0P 1G0,902 538 4700,902 538 4711,CK@AVRSB.CA,2015-2016
55,182200091,POINT (-64.63228641222544 45.058287331053556),182200287,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,58,CAMBRIDGE AND DISTRICT ELEMENTARY SCHOOL,6113 HWY 1,CAMBRIDGE NS,B0P 1G0,6113 HIGHWAY 1,CAMBRIDGE NS,B0P 1G0,902 538 4680,902 538 4686,CADS@AVRSB.CA,2015-2016
54,400038148,POINT (-63.13769804091458 45.05147009636988),309200248,HALIFAX REGIONAL SCHOOL BOARD,348,MUSQUODOBOIT VALLEY EDUCATION CENTRE,PO BOX 99,MIDDLE MUSQUODOBOIT NS,B0N 1X0,12046 HIGHWAY 224,MIDDLE MUSQUODOBOIT NS,B0N 1X0,902 384 2555,902 384 2419,MVEC@HRSB.NS.CA,2015-2016
57,223600046,POINT (-65.96540928987615 43.86963631102999),223600006,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,980,ECOLE SECONDAIRE DE PAR-EN-BAS,CP 178,TUSKET N.-E.,B0W 3M0,4258 HIGHWAY 308,TUSKET NS,B0W 3M0,902 648 5900,902 648 5915,ESPB@CSAP.CA,2015-2016
55,400030325,POINT (-64.0092681987094 45.01461343434756),144400069,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,994,WEST HANTS MIDDLE SCHOOL,8009 HWY 14,NEWPORT NS,B0N 2A0,8009 HIGHWAY 14,BROOKLYN NS,B0N 2A0,902 757 4100,902 757 4111,WHMS@AVRSB.CA,2015-2016
55,400030325,POINT (-64.00850938272342 45.012846322181595),144400076,ANNAPOLIS VALLEY REGIONAL SCHOOL BOARD,363,BROOKLYN DISTRICT ELEMENTARY SCHOOL,8008 HWY 14,NEWPORT NS,B0N 2A0,8008 HIGHWAY 14,BROOKLYN NS,B0N 2A0,902 757 4120,902 757 4125,BDES@AVRSB.CA,2015-2016
59,400035777,POINT (-65.85372953192757 43.796449824108464),224200042,TRI-COUNTY REGIONAL SCHOOL BOARD,981,DRUMLIN HEIGHTS CONSOLIDATED SCHOOL,RR 1,GLENWOOD NS,B0W 1W0,5428 HIGHWAY 3,ARGYLE NS,B0W 1W0,902 643 6000,902 643 6006,DHCS@TCRSB.CA,2015-2016
58,256400083,POINT (-64.32148757629777 44.600336483650686),256400178,SOUTH SHORE REGIONAL SCHOOL BOARD,80,FOREST HEIGHTS COMMUNITY SCHOOL,PO BOX 29,CHESTER BASIN NS,B0J 1K0,847 HIGHWAY 12,CHESTER GRANT NS,B0J 1K0,902 275 2700,902 275 2710,FHCS@SSRSB.CA,2015-2016
53,400011960,POINT (-63.490734236085856 44.98451333442254),137400568,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,949,MAPLE RIDGE ELEMENTARY SCHOOL,1066 HWY 2,LANTZ NS,B2S 1M8,1066 HIGHWAY 2,LANTZ NS,B2S 1M8,902 883 5361,902 883 5360,MACKEILH@CCRSB.CA,2015-2016
54,400038148,POINT (-63.13340699889032 45.05232324421151),400144894,HALIFAX REGIONAL SCHOOL BOARD,1149,MUSQUODOBOIT RURAL HIGH SCHOOL,11980 HWY 224,MIDDLE MUSQUODOBOIT NS,B0N 1X0,11980 HIGHWAY 224,MIDDLE MUSQUODOBOIT NS,B0N 1X0,902 384 2320,902 384 2321,MRHS@HRSB.NS.CA,2015-2016
58,169300054,POINT (-64.84228375945594 44.27232652428966),400144461,SOUTH SHORE REGIONAL SCHOOL BOARD,1150,GREENFIELD ELEMENTARY SCHOOL,5060 HWY 210,GREENFIELD NS,B0T 1E0,5060 HIGHWAY 210,GREENFIELD NS,B0T 1E0,902 685 5400,902 685 5401,GES@SSRSB.CA,2015-2016
53,16600445,POINT (-64.2027050602193 45.83113036174166),16602826,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,1105,SPRING STREET ACADEMY,59 SPRING ST,AMHERST NS,B4H 1S4,59 SPRING ST,AMHERST NS,B4H 1S4,902 661 2499,902 661 2431,BEEDS@CCRSB.CA,2015-2016
53,16600518,POINT (-64.18733393071619 45.830498523404444),16900251,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,705,AMHERST REGIONAL HIGH SCHOOL,190 WILLOW ST,AMHERST NS,B4H 3W5,190 WILLOW ST,AMHERST NS,B4H 3W5,902 661 2540,902 661 2535,STUBBERTA@CCRSB.CA,2015-2016
51,400028748,POINT (-60.75789247975696 46.09509366723603),57700372,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,96,BADDECK ACADEMY,PO BOX 310,BADDECK NS,B0E 1B0,320 SHORE RD,BADDECK NS,B0E 1B0,902 295 2359,902 295 1263,BADDECK@STAFF.EDNET.NS.CA,2015-2016
58,242100242,POINT (-64.32026601619003 44.374938108499045),400159703,SOUTH SHORE REGIONAL SCHOOL BOARD,1156,BLUENOSE ACADEMY,PO BOX 1210,LUNENBURG NS,B0J 2C0,18 TANNERY RD,LUNENBURG NS,B0J 2C0,902 634 2200,902 634 2210,BA@SSRSB.CA,2015-2016
54,400041681,POINT (-63.69808302249321 44.72056926719857),400156650,HALIFAX REGIONAL SCHOOL BOARD,1183,CHARLES P. ALLEN HIGH SCHOOL,200 INNOVATION DR,BEDFORD NS,B4B 0G4,200 INNOVATION DR,BEDFORD NS,B4B 0G4,902 832 8964,902 832 8981,CPAH@HRSB.NS.CA,2015-2016
51,67200424,POINT (-60.25444549518031 46.213017260069456),400156079,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,1153,FERRISVIEW ELEMENTARY SCHOOL,83 ARCHIBALD AVE,NORTH SYDNEY NS,B2A 2W9,83 ARCHIBALD AVE,NORTH SYDNEY NS,B2A 2W9,902 794 7137,902 794 6237,FERRISVIEW@STAFF.EDNET.NS.CA,2015-2016
53,7400016,POINT (-64.05660351996887 45.64550281849048),7400115,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL,PO BOX 1060,SPRINGHILL NS,B0M 1X0,84 CHURCH ST,SPRINGHILL NS,B0M 1X0,902 597 4250,902 597 4251,CONRONB@CCRSB.CA,2015-2016
51,66000054,POINT (-60.265949037017066 46.25549584711011),66000496,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,99,FLORENCE ELEMENTARY SCHOOL,40 MACKAY ST,FLORENCE NS,B1Y 1M3,40 MACKAY ST,FLORENCE NS,B1Y 1M3,902 736 8649,902 736 7512,FLORENCE_ELE@STAFF.EDNET.NS.CA,2015-2016
53,7400089,POINT (-64.05711001862511 45.65276102048884),7400524,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,661,JUNCTION ROAD ELEMENTARY SCHOOL,PO BOX 2139,SPRINGHILL NS,B0M 1X0,19 JUNCTION RD,SPRINGHILL NS,B0M 1X0,902 597 4240,902 597 4247,MADDISONALICKS@CCRSB.CA,2015-2016
53,13900029,POINT (-63.658369929843595 45.85498439097584),13900178,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,252,PUGWASH DISTRICT HIGH SCHOOL,192 CHURCH ST,PUGWASH NS,B0K 1L0,192 GULF SHORE RD,PUGWASH NS,B0K 1L0,902 243 3930,902 243 3940,BRUNTSE@CCRSB.CA,2015-2016
53,8100002,POINT (-64.3786786424512 45.69260869442326),8100028,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,240,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL,2843 BARRENSFIELD RD,RIVER HEBERT NS,B0L 1G0,2843 BARRONSFIELD RD,RIVER HEBERT NS,B0L 1G0,902 251 3200,902 251 3210,TAYLORV@CCRSB.CA,2015-2016
57,319805294,POINT (-63.66364413664513 44.69805731568142),319800051,CONSEIL SCOLAIRE ACADIEN PROVINCIAL,947,ECOLE BEAUBASSIN,54 BLVD LARRY UTECK,HALIFAX N.-E.,B3M 4R9,54 LARRY UTECK BLVD,HALIFAX NS,B3M 4R9,902 457 6810,902 457 6809,EBB@CSAP.CA,2015-2016
53,7400153,POINT (-64.06531202782841 45.64129321272963),7400964,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,662,WEST END MEMORIAL SCHOOL,77 MCGEE ST,SPRINGHILL NS,B0M 1X0,77 MCGEE ST,SPRINGHILL NS,B0M 1X0,902 597 4242,902 597 4248,MADDISONALICKS@CCRSB.CA,2015-2016
51,66000064,POINT (-60.27349392079788 46.24997835716103),66000621,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,98,DR. T. L. SULLIVAN MIDDLE SCHOOL,256 PARK RD,FLORENCE NS,B1Y 1N2,256 PARK RD,FLORENCE NS,B1Y 1N2,902 736 6273,902 736 8844,TLSULLIVAN@STAFF.EDNET.NS.CA,2015-2016
51,66400358,POINT (-60.083873920973105 46.243610396387844),66402085,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,643,MOUNT CARMEL ELEMENTARY SCHOOL,3237 NICHOLSON AVE,NEW WATERFORD NS,B1H 1N9,3237 NICHOLSON AVE,NEW WATERFORD NS,B1H 1N9,902 862 7127,902 862 7128,MOUNTCARMEL@STAFF.EDNET.NS.CA,2015-2016
53,2500093,POINT (-64.32831203061352 45.405423235903264),2500545,CHIGNECTO-CENTRAL REGIONAL SCHOOL BOARD,649,PARRSBORO REGIONAL ELEMENTARY SCHOOL,43 SCHOOL ST,PARRSBORO NS,B0M 1S0,43 SCHOOL ST,PARRSBORO NS,B0M 1S0,902 254 5605,902 254 5609,STEVENSONS@CCRSB.CA,2015-2016
51,66100230,POINT (-60.236013859889134 46.23878029193419),66101912,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,119,ST. JOSEPH ELEMENTARY SCHOOL,2 SCHOOL ST,SYDNEY MINES NS,B1V 1R3,2 SCHOOL ST,SYDNEY MINES NS,B1V 1R3,902 736 8382,902 736 7519,STJOSEPHSM@STAFF.EDNET.NS.CA,2015-2016
51,66100232,POINT (-60.22140522956693 46.239030018076406),66101852,CAPE BRETON-VICTORIA REGIONAL SCHOOL BOARD,117,SYDNEY MINES MIDDLE SCHOOL,596 MAIN ST,SYDNEY MINES NS,B1V 2K8,596 MAIN ST,SYDNEY MINES NS,B1V 2K8,902 736 8549,902 736 0945,KURTK@GNSPES.CA,2015-2016
