Year,Board Code,Board Name,School Code,School Name,School Total
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0202,MALCOLM MUNROE MEMORIAL MIDDLE SCHOOL     ,653
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0183,MARION BRIDGE SCHOOL          ,88
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0082,MEMORIAL COMPOSITE HIGH SCHOOL,1030
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0083,MIDDLE RIVER CONSOLIDATED SCHOOL     ,22
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0180,MIRA ROAD SCHOOL              ,176
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0552,MORRISON JUNIOR HIGH SCHOOL          ,307
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0643,MOUNT CARMEL ELEMENTARY SCHOOL,186
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0997,MOUNTAINVIEW ELEMENTARY SCHOOL,319
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0444,NEW WATERFORD ADULT EDUCATION CENTRE ,24
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0963,NEW WATERFORD ELEMENTARY SCHOOL ,360
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0961,NORTH HIGHLANDS ELEMENTARY SCHOOL    ,116
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0929,NORTHSIDE ADULT EDUCATION CENTRE   ,21
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0095,RANKIN MEMORIAL SCHOOL              ,132
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0973,RIVERSIDE ELEMENTARY SCHOOL   ,192
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0203,RIVERVIEW HIGH SCHOOL         ,1015
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0182,ROBIN FOOTE ELEMENTARY SCHOOL ,181
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0113,SETON ELEMENTARY SCHOOL       ,275
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0646,SHERWOOD PARK EDUCATION CENTRE,520
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0972,SHIPYARD ELEMENTARY SCHOOL    ,233
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0644,ST. AGNES ELEMENTARY SCHOOL   ,163
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0561,ST. ANNE'S ELEMENTARY SCHOOL  ,359
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0119,ST. JOSEPH ELEMENTARY SCHOOL  ,276
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0984,ST. MARY'S-ST. JOSEPH'S COMPLEX,280
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0553,ST. MICHAEL JUNIOR HIGH SCHOOL      ,495
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0688,SYDNEY ACADEMY                ,789
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0443,SYDNEY ADULT EDUCATION CENTRE ,43
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0117,SYDNEY MINES MIDDLE SCHOOL    ,341
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0185,SYDNEY RIVER ELEMENTARY SCHOOL,332
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0110,THOMPSON MIDDLE SCHOOL        ,233
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0175,TOMPKINS MEMORIAL ELEMENTARY SCHOOL  ,177
2006-2007,051,CAPE BRETON-VICTORIA REGIONAL ,0667,WHITNEY PIER MEMORIAL MIDDLE SCHOOL  ,503
2006-2007,052,STRAIT REGIONAL               ,0934,ANTIGONISH EDUCATION CENTRE     ,562
2006-2007,052,STRAIT REGIONAL               ,0932,BAYVIEW EDUCATION CENTRE      ,423
2006-2007,052,STRAIT REGIONAL               ,0510,CANSO ACADEMY                 ,77
2006-2007,052,STRAIT REGIONAL               ,0974,CAPE BRETON HIGHLANDS EDUCATION CENTRE/ACADEMY ,481
2006-2007,052,STRAIT REGIONAL               ,0986,CHEDABUCTO EDUCATION CENTRE/GUYSBOROUGH ACADEMY,400
2006-2007,052,STRAIT REGIONAL               ,0930,DALBRAE ACADEMY               ,310
2006-2007,052,STRAIT REGIONAL               ,0707,DR. JOHN HUGH GILLIS REGIONAL HIGH SCHOOL ,1016
2006-2007,052,STRAIT REGIONAL               ,0975,EAST ANTIGONISH EDUCATION CENTRE/ACADEMY ,556
2006-2007,052,STRAIT REGIONAL               ,0484,EAST RICHMOND EDUCATION CENTRE     ,352
2006-2007,052,STRAIT REGIONAL               ,0266,FANNING EDUCATION CENTRE/CANSO ACADEMY,152
2006-2007,052,STRAIT REGIONAL               ,0471,FELIX MARCHAND EDUCATION CENTRE ,165
2006-2007,052,STRAIT REGIONAL               ,0143,H. M. MACDONALD ELEMENTARY SCHOOL  ,90
2006-2007,052,STRAIT REGIONAL               ,1106,INVERNESS EDUCATION CENTRE/ACADEMY ,348
2006-2007,052,STRAIT REGIONAL               ,0631,MULGRAVE MEMORIAL EDUCATION CENTRE ,117
2006-2007,052,STRAIT REGIONAL               ,0390,PLEASANT BAY SCHOOL           ,12
2006-2007,052,STRAIT REGIONAL               ,0146,REV. H. J. MACDONALD SCHOOL         ,83
2006-2007,052,STRAIT REGIONAL               ,0931,RICHMOND EDUCATION CENTRE/ACADEMY  ,477
2006-2007,052,STRAIT REGIONAL               ,0152,ST. ANDREW JUNIOR HIGH SCHOOL ,642
2006-2007,052,STRAIT REGIONAL               ,0149,ST. ANDREWS CONSOLIDATED SCHOOL    ,213
2006-2007,052,STRAIT REGIONAL               ,0491,ST. MARY'S ACADEMY            ,188
2006-2007,052,STRAIT REGIONAL               ,0025,ST. MARY'S EDUCATION CENTRE   ,208
2006-2007,052,STRAIT REGIONAL               ,0655,STRAIT AREA EDUCATION/RECREATION CENTRE   ,418
2006-2007,052,STRAIT REGIONAL               ,0936,TAMARAC EDUCATION CENTRE      ,626
2006-2007,052,STRAIT REGIONAL               ,0976,WEST RICHMOND EDUCATION CENTRE,138
2006-2007,052,STRAIT REGIONAL               ,0388,WHYCOCOMAGH EDUCATION CENTRE  ,191
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0639,A.G. BAILLIE MEMORIAL SCHOOL,437
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0634,ACADIA ST ELEMENTARY SCHOOL,147
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0248,ADVOCATE DISTRICT SCHOOL      ,60
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0049,ALICE STREET SCHOOL                 ,98
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0705,AMHERST REGIONAL HIGH SCHOOL  ,767
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0006,BIBLE HILL CENTRAL ELEMENTARY SCHOOL ,176
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0002,BIBLE HILL EAST COURT ROAD ELEMENTARY SCHOOL,128
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0007,BIBLE HILL JUNIOR HIGH SCHOOL ,453
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0016,BROOKFIELD ELEMENTARY SCHOOL  ,170
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0020,CENTRAL COLCHESTER JUNIOR HIGH SCHOOL,474
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0027,CHIGANOIS ELEMENTARY SCHOOL   ,214
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0269,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-AMHERST,30
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0978,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-ELMSDALE,34
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0919,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-NEW GLASGOW,63
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0920,CHIGNECTO CENTRAL ADULT HIGH SCHOOL-TRURO,49
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0014,COBEQUID CONSOLIDATED ELEMENTARY SCHOOL     ,219
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0036,COBEQUID DISTRICT ELEMENTARY SCHOOL,91
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0044,COBEQUID EDUCATIONAL CENTRE   ,1615
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,1104,CUMBERLAND NORTH ACADEMY      ,307
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0230,CYRUS EATON ELEMENTARY SCHOOL ,137
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0028,DEBERT ELEMENTARY SCHOOL      ,159
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0047,DOUGLAS STREET SCHOOL                ,241
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0408,DR. W. A. MACLEOD CONSOLIDATED SCHOOL,249
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0750,E. B. CHANDLER JUNIOR HIGH SCHOOL,346
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0432,EAST PICTOU MIDDLE SCHOOL     ,248
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0017,EAST STEWIACKE ELEMENTARY SCHOOL     ,186
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0031,ELMSDALE DISTRICT ELEMENTARY SCHOOL ,400
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0030,ENFIELD DISTRICT SCHOOL       ,309
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0414,F. H. MACDONALD ELEMENTARY SCHOOL ,420
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0665,G.R. SAUNDERS ELEMENTARY SCHOOL     ,329
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0026,GREAT VILLAGE ELEMENTARY SCHOOL      ,61
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0042,HANTS EAST RURAL HIGH SCHOOL  ,842
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0041,HANTS NORTH RURAL HIGH SCHOOL ,341
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,1100,HIGHLAND CONSOLIDATED MIDDLE SCHOOL ,282
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0015,HILDEN ELEMENTARY SCHOOL      ,124
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0661,JUNCTION ROAD ELEMENTARY SCHOOL     ,179
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0038,KENNETCOOK DISTRICT ELEMENTARY SCHOOL,71
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0035,MAITLAND DISTRICT SCHOOL             ,47
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0949,MAPLE RIDGE ELEMENTARY SCHOOL ,301
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0633,NEW GLASGOW JUNIOR HIGH SCHOOL       ,357
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0005,NORTH COLCHESTER HIGH SCHOOL  ,224
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0988,NORTH NOVA EDUCATION CENTRE   ,896
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0009,NORTH RIVER ELEMENTARY SCHOOL ,280
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0231,NORTHPORT CONSOLIDATED ELEMENTARY SCHOOL  ,69
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0989,NORTHUMBERLAND REGIONAL HIGH SCHOOL,1117
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0648,OXFORD REGIONAL ELEMENTARY SCHOOL   ,174
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0714,OXFORD REGIONAL HIGH SCHOOL         ,276
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0649,PARRSBORO REGIONAL ELEMENTARY SCHOOL ,221
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0715,PARRSBORO REGIONAL HIGH SCHOOL,255
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0650,PICTOU ACADEMY/DR.THOMAS MCCULLOCH SCHOOL,330
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0971,PICTOU ELEMENTARY SCHOOL      ,264
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0050,PRINCESS MARGARET ROSE SCHOOL       ,76
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0252,PUGWASH DISTRICT HIGH SCHOOL  ,320
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0039,RAWDON DISTRICT ELEMENTARY SCHOOL    ,122
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0916,REDCLIFF MIDDLE SCHOOL        ,555
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0240,RIVER HEBERT DISTRICT ELEMENTARY SCHOOL   ,123
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0251,RIVER HEBERT DISTRICT SCHOOL  ,119
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0435,RIVER JOHN CONSOLIDATED SCHOOL       ,85
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0923,RIVERSIDE EDUCATION CENTRE    ,640
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0011,SALMON RIVER ELEMENTARY SCHOOL       ,216
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0441,SALT SPRINGS ELEMENTARY SCHOOL       ,80
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0004,SCOTSBURN ELEMENTARY SCHOOL   ,106
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0034,SHUBENACADIE DISTRICT ELEMENTARY SCHOOL    ,210
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0992,SOUTH COLCHESTER ACADEMY      ,843
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,1105,SPRING STREET ACADEMY         ,509
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0658,SPRINGHILL JUNIOR-SENIOR HIGH SCHOOL ,389
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0051,ST. MARY'S ELEMENTARY SCHOOL ,114
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0043,STEWIACKE ELEMENTARY SCHOOL          ,88
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0001,TATAMAGOUCHE ELEMENTARY SCHOOL,204
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0636,TEMPERANCE STREET SCHOOL             ,127
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0428,THORBURN CONSOLIDATED SCHOOL  ,282
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0692,TRENTON ELEMENTARY SCHOOL     ,192
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0690,TRENTON MIDDLE SCHOOL         ,228
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0045,TRURO JUNIOR HIGH SCHOOL      ,545
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0040,UNIACKE DISTRICT SCHOOL       ,432
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0018,UPPER STEWIACKE ELEMENTARY SCHOOL   ,66
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0012,VALLEY ELEMENTARY SCHOOL      ,222
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0227,WALLACE CONSOLIDATED ELEMENTARY SCHOOL     ,101
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0003,WALTER DUGGAN CONSOLIDATED SCHOOL    ,463
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0229,WENTWORTH CONSOLIDATED ELEMENTARY SCHOOL ,38
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0029,WEST COLCHESTER CONSOLIDATED SCHOOL ,184
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0662,WEST END MEMORIAL SCHOOL      ,165
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0503,WEST HIGHLANDS ELEMENTARY SCHOOL     ,235
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0407,WEST PICTOU CONSOLIDATED SCHOOL      ,440
2006-2007,053,CHIGNECTO-CENTRAL REGIONAL    ,0048,WILLOW STREET SCHOOL,126
2006-2007,054,HALIFAX REGIONAL              ,0228,A. J. SMELTZER JUNIOR HIGH SCHOOL  ,386
2006-2007,054,HALIFAX REGIONAL              ,0512,ADMIRAL WESTPHAL ELEMENTARY SCHOOL  ,161
2006-2007,054,HALIFAX REGIONAL              ,0513,ALDERNEY ELEMENTARY SCHOOL    ,113
2006-2007,054,HALIFAX REGIONAL              ,0317,ASH LEE JEFFERSON ELEMENTARY SCHOOL,600
2006-2007,054,HALIFAX REGIONAL              ,0739,ASTRAL DRIVE ELEMENTARY SCHOOL,497
2006-2007,054,HALIFAX REGIONAL              ,0749,ASTRAL DRIVE JUNIOR HIGH SCHOOL,628
2006-2007,054,HALIFAX REGIONAL              ,0425,ATLANTIC MEMORIAL-TERENCE BAY SCHOOL      ,274
2006-2007,054,HALIFAX REGIONAL              ,0326,ATLANTIC VIEW ELEMENTARY SCHOOL    ,160
2006-2007,054,HALIFAX REGIONAL              ,0097,AUBURN DRIVE HIGH SCHOOL      ,1149
2006-2007,054,HALIFAX REGIONAL              ,0104,BASINVIEW DRIVE COMMUNITY SCHOOL    ,325
2006-2007,054,HALIFAX REGIONAL              ,0752,BEAVER BANK MONARCH DRIVE ELEMENTARY SCHOOL,344
2006-2007,054,HALIFAX REGIONAL              ,0304,BEAVER BANK-KINSAC ELEMENTARY SCHOOL,245
2006-2007,054,HALIFAX REGIONAL              ,0268,BEDFORD AND FORSYTH EDUCATION CENTRES  ,279
2006-2007,054,HALIFAX REGIONAL              ,0298,BEDFORD JUNIOR HIGH SCHOOL         ,405
2006-2007,054,HALIFAX REGIONAL              ,0937,BEDFORD SOUTH SCHOOL          ,564
2006-2007,054,HALIFAX REGIONAL              ,0291,BEECHVILLE LAKESIDE TIMBERLEA JUNIOR ELEMENTARY SCHOOL  ,774
2006-2007,054,HALIFAX REGIONAL              ,0514,BEL AYR ELEMENTARY SCHOOL     ,221
2006-2007,054,HALIFAX REGIONAL              ,0322,BELL PARK ACADEMIC CENTRE     ,341
2006-2007,054,HALIFAX REGIONAL              ,0515,BICENTENNIAL SCHOOL           ,398
2006-2007,054,HALIFAX REGIONAL              ,0519,BROOKHOUSE ELEMENTARY SCHOOL  ,292
2006-2007,054,HALIFAX REGIONAL              ,0286,BROOKSIDE JUNIOR HIGH SCHOOL  ,431
2006-2007,054,HALIFAX REGIONAL              ,0595,BURTON ETTINGER ELEMENTARY SCHOOL    ,328
2006-2007,054,HALIFAX REGIONAL              ,0319,CALDWELL ROAD ELEMENTARY SCHOOL,338
2006-2007,054,HALIFAX REGIONAL              ,0516,CALEDONIA JUNIOR HIGH SCHOOL  ,388
2006-2007,054,HALIFAX REGIONAL              ,0312,CAUDLE PARK ELEMENTARY SCHOOL ,249
2006-2007,054,HALIFAX REGIONAL              ,0743,CAVALIER DRIVE SCHOOL         ,420
2006-2007,054,HALIFAX REGIONAL              ,0611,CENTRAL SPRYFIELD SCHOOL      ,225
2006-2007,054,HALIFAX REGIONAL              ,0358,CHARLES P. ALLEN HIGH SCHOOL  ,1086
2006-2007,054,HALIFAX REGIONAL              ,0596,CHEBUCTO HEIGHTS ELEMENTARY SCHOOL   ,321
2006-2007,054,HALIFAX REGIONAL              ,0600,CLAYTON PARK JUNIOR HIGH SCHOOL     ,296
2006-2007,054,HALIFAX REGIONAL              ,0352,COLBY VILLAGE ELEMENTARY SCHOOL      ,245
2006-2007,054,HALIFAX REGIONAL              ,0357,COLE HARBOUR DISTRICT HIGH SCHOOL   ,1136
2006-2007,054,HALIFAX REGIONAL              ,0339,COLONEL JOHN STUART ELEMENTARY SCHOOL,204
2006-2007,054,HALIFAX REGIONAL              ,0517,CRICHTON PARK ELEMENTARY SCHOOL      ,234
2006-2007,054,HALIFAX REGIONAL              ,0605,CUNARD JUNIOR HIGH SCHOOL     ,245
2006-2007,054,HALIFAX REGIONAL              ,0518,DARTMOUTH HIGH SCHOOL         ,1090
2006-2007,054,HALIFAX REGIONAL              ,0601,DUC D'ANVILLE ELEMENTARY SCHOOL      ,345
2006-2007,054,HALIFAX REGIONAL              ,0328,DUNCAN MACMILLAN HIGH SCHOOL  ,246
2006-2007,054,HALIFAX REGIONAL              ,0343,DUTCH SETTLEMENT ELEMENTARY SCHOOL  ,110
2006-2007,054,HALIFAX REGIONAL              ,0283,EAST ST. MARGARET'S ELEMENTARY SCHOOL      ,75
2006-2007,054,HALIFAX REGIONAL              ,0329,EASTERN CONSOLIDATED ELEMENTARY SCHOOL     ,34
2006-2007,054,HALIFAX REGIONAL              ,0351,EASTERN PASSAGE EDUCATION CENTRE   ,543
2006-2007,054,HALIFAX REGIONAL              ,0334,EASTERN SHORE DISTRICT HIGH SCHOOL ,576
2006-2007,054,HALIFAX REGIONAL              ,0614,ELIZABETH SUTHERLAND SCHOOL   ,322
2006-2007,054,HALIFAX REGIONAL              ,0538,ELLENVALE JUNIOR HIGH SCHOOL  ,405
2006-2007,054,HALIFAX REGIONAL              ,0564,ERIC GRAVES MEMORIAL JUNIOR HIGH SCHOOL  ,261
2006-2007,054,HALIFAX REGIONAL              ,0599,FAIRVIEW HEIGHTS ELEMENTARY SCHOOL  ,282
2006-2007,054,HALIFAX REGIONAL              ,0578,FAIRVIEW JUNIOR HIGH SCHOOL   ,440
2006-2007,054,HALIFAX REGIONAL              ,0288,FIVE BRIDGES JUNIOR HIGH SCHOOL     ,492
2006-2007,054,HALIFAX REGIONAL              ,0356,GAETZ BROOK JUNIOR HIGH SCHOOL,565
2006-2007,054,HALIFAX REGIONAL              ,0731,GEORGE BISSETT ELEMENTARY SCHOOL   ,193
2006-2007,054,HALIFAX REGIONAL              ,0314,GEORGES P. VANIER JUNIOR HIGH SCHOOL,438
2006-2007,054,HALIFAX REGIONAL              ,0350,GERTRUDE M. PARKER ELEMENTARY SCHOOL ,294
2006-2007,054,HALIFAX REGIONAL              ,0568,GORSEBROOK JUNIOR HIGH SCHOOL ,244
2006-2007,054,HALIFAX REGIONAL              ,0318,GRAHAM CREIGHTON JUNIOR HIGH SCHOOL  ,466
2006-2007,054,HALIFAX REGIONAL              ,0602,GROSVENOR-WENTWORTH PARK ELEMENTARY SCHOOL ,367
2006-2007,054,HALIFAX REGIONAL              ,0567,HALIFAX CENTRAL JUNIOR HIGH SCHOOL,237
2006-2007,054,HALIFAX REGIONAL              ,0592,HALIFAX WEST HIGH SCHOOL      ,1563
2006-2007,054,HALIFAX REGIONAL              ,0306,HAMMONDS PLAINS CONSOLIDATED SCHOOL ,511
2006-2007,054,HALIFAX REGIONAL              ,0521,HARBOUR VIEW ELEMENTARY SCHOOL,255
2006-2007,054,HALIFAX REGIONAL              ,0335,HARBOURSIDE ELEMENTARY SCHOOL,28
2006-2007,054,HALIFAX REGIONAL              ,0740,HAROLD T. BARRETT JUNIOR HIGH SCHOOL,172
2006-2007,054,HALIFAX REGIONAL              ,0296,HARRIETSFIELD ELEMENTARY SCHOOL      ,183
2006-2007,054,HALIFAX REGIONAL              ,0313,HARRY R. HAMILTON ELEMENTARY SCHOOL ,514
2006-2007,054,HALIFAX REGIONAL              ,0522,HAWTHORN ELEMENTARY SCHOOL    ,191
2006-2007,054,HALIFAX REGIONAL              ,0293,HERRING COVE JUNIOR HIGH SCHOOL      ,293
2006-2007,054,HALIFAX REGIONAL              ,0571,HIGHLAND PARK JUNIOR HIGH SCHOOL     ,178
2006-2007,054,HALIFAX REGIONAL              ,0310,HILLSIDE PARK ELEMENTARY SCHOOL      ,246
2006-2007,054,HALIFAX REGIONAL              ,0747,HOLLAND ROAD ELEMENTARY SCHOOL,330
2006-2007,054,HALIFAX REGIONAL              ,0327,HUMBER PARK ELEMENTARY SCHOOL ,255
2006-2007,054,HALIFAX REGIONAL              ,0523,IAN FORSYTH ELEMENTARY SCHOOL ,338
2006-2007,054,HALIFAX REGIONAL              ,0579,INGLIS STREET ELEMENTARY SCHOOL      ,192
2006-2007,054,HALIFAX REGIONAL              ,0619,J. L. ILSLEY HIGH SCHOOL      ,903
2006-2007,054,HALIFAX REGIONAL              ,0539,JOHN MACNEIL ELEMENTARY SCHOOL,221
